"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"B0004","B","app-only","Блок управления двигателем Discrete Вход Скорость Сигнал Not Present",,"Блок управления двигателем Discrete Вход Скорость Сигнал Not Present"
"B0005","B","app-only","In Park Switch Цепь Неисправность",,"In Park Switch Цепь Неисправность"
"B0016","B","app-only","RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Сопротивление Низкий",,"RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Сопротивление Низкий"
"B0017","B","app-only","RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Обрыв",,"RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Обрыв"
"B0018","B","app-only","RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Короткое замыкание на массу/Напряжение Out of Range",,"RF/Пассажир Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Короткое замыкание на массу/Напряжение Out of Range"
"B0022","B","app-only","LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Сопротивление Низкий",,"LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Сопротивление Низкий"
"B0024","B","app-only","LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Короткое замыкание на массу/Напряжение Out of Range",,"LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Короткое замыкание на массу/Напряжение Out of Range"
"B0026","B","app-only","LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Обрыв",,"LF/Водитель Фронтальный Срабатывание Контур (Single Ступень or Ступень 1) Обрыв"
"B0028","B","both","Right Front Пассажир Side Срабатывание Контур Сопротивление Низкий","Right Front Пассажир Side Срабатывание Контур Сопротивление Низкий","RF/Пассажир Side Срабатывание Контур Сопротивление Низкий"
"B0029","B","app-only","RF/Пассажир Side Срабатывание Контур Обрыв",,"RF/Пассажир Side Срабатывание Контур Обрыв"
"B0030","B","app-only","RF/Пассажир Side Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range",,"RF/Пассажир Side Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range"
"B0035","B","app-only","ADS Closed/Shorted to Масса",,"ADS Closed/Shorted to Масса"
"B0036","B","app-only","ADS Обрыв/Missing/Shorted to Батарея",,"ADS Обрыв/Missing/Shorted to Батарея"
"B0037","B","both","Auxiliary Discriminating Sensor Switch Closed or Shorted to Ground","Auxiliary Discriminating Sensor Switch Closed or Shorted to Ground","AUX switch closed/shorted to Масса"
